week,name,grosses,potential_gross,grosses_percentage,average_ticket,top_ticket,seat_sold,total_seat,per,seat_percentage
2018-07-08,ONCE ON THIS ISLAND,"$545,569","$792,176",68.9%,$107.37,$250,5081,5568,8,91.3%
2018-07-08,SCHOOL OF ROCK,"$935,103","$1,443,688",64.8%,$91.34,$223,10238,12184,8,84.0%
2018-07-08,SPONGEBOB SQUAREPANTS,"$891,818","$1,408,776",63.3%,$77.55,$248,11500,12880,8,89.3%
2018-07-08,STRAIGHT WHITE MEN,"$302,222","$638,296",47.3%,$73.02,$249,4139,4648,8,89.0%
2018-07-08,SUMMER,"$743,385","$1,455,668",51.1%,$101.13,$297,7351,11760,8,62.5%
2018-07-08,THE BAND'S VISIT,"$1,051,109","$1,031,928",101.9%,$126.46,$297,8312,8312,8,100.0%
2018-07-08,THE BOOK OF MORMON,"$1,110,960","$1,190,502",93.3%,$128.84,$478,8623,8376,8,102.9%
2018-07-08,THE BOYS IN THE BAND,"$937,495","$957,024",98.0%,$149.43,$397,6274,6192,8,101.3%
2018-07-08,THE LION KING,"$2,493,708","$2,284,278",109.2%,$183.79,$225,13568,13568,8,100.0%
2018-07-08,THE PHANTOM OF THE OPERA,"$1,175,292","$1,368,480",85.9%,$93.71,$213,12542,12840,8,97.7%
2018-07-08,THE PLAY THAT GOES WRONG,"$357,180","$677,688",52.7%,$64.33,$197,5552,6832,8,81.3%
2018-07-08,WAITRESS,"$766,433","$1,019,480",75.2%,$101.95,$270,7518,8360,8,89.9%
2018-07-08,WICKED,"$1,981,742","$1,779,845",111.3%,$134.30,$240,14756,14936,8,98.8%
2018-07-01,A BRONX TALE THE MUSICAL,"$543,182","$921,066",59.0%,$83.72,$225,6488,8352,8,77.7%
2018-07-01,ALADDIN,"$1,533,450","$1,606,617",95.4%,$112.49,$216,13632,13816,8,98.7%
2018-07-01,ANASTASIA,"$788,824","$1,105,421",71.4%,$99.72,$273,7910,9144,8,86.5%
2018-07-01,ANGELS IN AMERICA,"$1,139,835","$1,362,036",83.7%,$121.86,$247,9354,9954,7,94.0%
2018-07-01,BEAUTIFUL,"$713,307","$1,106,908",64.4%,$102.37,$247,6968,8208,8,84.9%
2018-07-01,CAROUSEL,"$912,092","$1,622,728",56.2%,$101.94,$323,8947,11424,8,78.3%
2018-07-01,CHICAGO,"$637,079","$958,024",66.5%,$86.72,$187,7346,8640,8,85.0%
2018-07-01,COME FROM AWAY,"$1,153,172","$1,260,966",91.5%,$135.06,$347,8538,8368,8,102.0%
2018-07-01,DEAR EVAN HANSEN,"$1,686,324","$1,425,136",118.3%,$211.11,$448,7988,7872,8,101.5%
2018-07-01,ESCAPE TO MARGARITAVILLE,"$656,921","$1,752,864",37.5%,$78.55,$247,8363,13008,8,64.3%
2018-07-01,FROZEN,"$2,012,041","$1,934,448",104.0%,$149.79,$297,13432,13472,8,99.7%
2018-07-01,HAMILTON,"$3,119,095","$2,895,648",107.7%,$289.99,$849,10756,10568,8,101.8%
2018-07-01,"HARRY POTTER AND THE CURSED CHILD, PARTS ONE AND TWO","$2,242,920","$1,988,464",112.8%,$172.85,$297,12976,12976,8,100.0%
2018-07-01,HEAD OVER HEELS,"$348,117","$870,832",40.0%,$54.89,$258,6342,7584,8,83.6%
2018-07-01,"HELLO, DOLLY!","$877,768","$1,371,056",64.0%,$83.94,$297,10457,11568,8,90.4%
2018-07-01,KINKY BOOTS,"$676,383","$1,294,256",52.3%,$86.95,$249,7779,11392,8,68.3%
2018-07-01,MEAN GIRLS,"$1,592,305","$1,469,426",108.4%,$160.79,$400,9903,9800,8,101.1%
2018-07-01,MY FAIR LADY,"$1,322,525","$1,396,120",94.7%,$154.65,$323,8552,8552,8,100.0%
2018-07-01,ONCE ON THIS ISLAND,"$595,727","$792,176",75.2%,$109.55,$250,5438,5568,8,97.7%
2018-07-01,SCHOOL OF ROCK,"$957,664","$1,443,688",66.3%,$93.58,$248,10234,12184,8,84.0%
2018-07-01,SPONGEBOB SQUAREPANTS,"$937,090","$1,408,776",66.5%,$82.75,$248,11325,12880,8,87.9%
2018-07-01,SPRINGSTEEN ON BROADWAY,"$1,929,003","$1,907,420",101.1%,$508.70,$850,3792,3792,4,100.0%
2018-07-01,STRAIGHT WHITE MEN,"$128,458","$239,361",53.7%,$81.05,$249,1585,1743,3,90.9%
2018-07-01,SUMMER,"$949,959","$1,455,668",65.3%,$106.03,$297,8959,11760,8,76.2%
2018-07-01,THE BAND'S VISIT,"$1,112,169","$1,024,568",108.6%,$133.80,$297,8312,8312,8,100.0%
2018-07-01,THE BOOK OF MORMON,"$1,123,931","$1,190,502",94.4%,$130.45,$478,8616,8376,8,102.9%
2018-07-01,THE BOYS IN THE BAND,"$1,023,210","$957,024",106.9%,$161.54,$397,6334,6192,8,102.3%
2018-07-01,THE ICEMAN COMETH,"$911,249","$1,194,930",76.3%,$128.53,$348,7090,7378,7,96.1%
2018-07-01,THE LION KING,"$2,331,687","$2,126,160",109.7%,$171.84,$225,13569,13568,8,100.0%
2018-07-01,THE PHANTOM OF THE OPERA,"$1,134,612","$1,356,418",83.6%,$92.84,$213,12221,12840,8,95.2%
2018-07-01,THE PLAY THAT GOES WRONG,"$349,077","$677,688",51.5%,$66.49,$197,5250,6832,8,76.8%
2018-07-01,WAITRESS,"$723,508","$1,019,480",71.0%,$94.66,$270,7643,8360,8,91.4%
2018-07-01,WICKED,"$1,963,807","$1,779,845",110.3%,$130.15,$240,15089,15408,8,97.9%
2018-06-24,A BRONX TALE THE MUSICAL,"$558,776","$921,066",60.7%,$83.04,$225,6729,8352,8,80.6%
2018-06-24,ALADDIN,"$1,551,645","$1,590,347",97.6%,$112.98,$216,13734,13816,8,99.4%
2018-06-24,ANASTASIA,"$847,758","$1,093,588",77.5%,$100.45,$273,8440,9144,8,92.3%
2018-06-24,ANGELS IN AMERICA,"$1,097,638","$1,362,036",80.6%,$118.51,$247,9262,9954,7,93.0%
2018-06-24,BEAUTIFUL,"$784,155","$1,106,908",70.8%,$104.01,$247,7539,8208,8,91.8%
2018-06-24,CAROUSEL,"$1,106,814","$1,622,728",68.2%,$117.51,$323,9419,11424,8,82.4%
2018-06-24,CHICAGO,"$672,384","$958,024",70.2%,$87.60,$187,7676,8640,8,88.8%
2018-06-24,COME FROM AWAY,"$1,223,504","$1,260,966",97.0%,$143.27,$347,8540,8368,8,102.1%
2018-06-24,DEAR EVAN HANSEN,"$1,714,309","$1,425,136",120.3%,$214.45,$448,7994,7872,8,101.5%
2018-06-24,ESCAPE TO MARGARITAVILLE,"$567,991","$1,752,864",32.4%,$78.44,$247,7241,13008,8,55.7%
2018-06-24,FROZEN,"$1,914,531","$1,824,344",104.9%,$142.31,$297,13453,13472,8,99.9%
2018-06-24,HAMILTON,"$3,132,866","$2,895,648",108.2%,$291.27,$849,10756,10568,8,101.8%
2018-06-24,"HARRY POTTER AND THE CURSED CHILD, PARTS ONE AND TWO","$2,240,197","$1,988,464",112.7%,$172.64,$297,12976,12976,8,100.0%
